Batsmen_Rating,Innings_Bat,Runs_Scored_Bat,Batting_Average_Bat,Batting_Strike_Rate_Bat,Fifties_Bat,Fours_Bat,Sixes_Bat
879,38,1471,50.72,128.14,13,146,21
280,11,238,21.64,136.0,2,24,10
584,58,1665,32.65,125.0,11,170,36
721,54,1576,35.02,160.0,7,133,81
429,29,621,27.0,112.3,4,45,15
430,41,812,28.0,126.68,3,79,15
502,92,1909,25.8,122.69,7,122,71
382,10,277,39.57,126.48,3,18,15
354,10,318,31.8,123.74,3,25,10
503,10,332,33.2,140.68,2,26,20
445,10,442,49.11,138.56,5,36,27
718,10,469,52.11,153.77,5,48,20
662,100,2773,32.24,138.79,21,245,127
374,11,244,27.11,154.43,2,13,16
457,11,429,47.67,157.72,3,36,22
487,105,2321,31.36,124.18,8,191,61
420,12,340,28.33,123.64,1,34,9
356,12,342,31.09,132.56,3,27,9
503,13,273,22.75,114.71,1,26,7
366,14,371,28.54,120.06,2,35,5
390,14,398,36.18,140.14,4,31,20
554,14,406,31.23,131.82,2,26,18
676,15,570,40.71,155.31,2,49,40
339,17,373,26.64,118.41,2,42,7
599,20,592,32.89,120.82,4,66,15
360,19,353,23.53,124.73,2,29,18
302,19,364,24.27,127.27,1,22,24
451,20,417,27.8,129.5,2,29,19
396,22,533,44.42,133.25,3,27,19
412,21,436,24.22,150.34,2,38,20
355,22,429,19.5,138.83,1,57,8
407,23,473,20.57,121.91,2,52,12
580,23,607,26.39,120.44,4,72,8
508,23,457,22.85,139.76,3,32,29
301,23,498,22.64,100.4,3,47,13
350,21,354,19.67,122.92,1,22,20
394,23,409,20.45,118.55,1,21,22
384,26,484,18.62,131.52,5,41,21
400,26,620,26.96,121.57,2,56,21
352,27,478,17.7,151.27,3,65,17
482,28,697,27.88,114.08,3,72,8
563,29,636,22.71,135.03,4,60,25
398,26,547,24.86,111.63,2,66,12
359,31,601,20.72,99.67,2,66,14
458,31,854,29.45,121.65,6,65,37
522,30,893,35.72,126.31,5,92,16
674,31,934,32.21,155.41,6,64,73
563,33,756,22.91,136.71,4,86,22
625,35,860,24.57,147.51,5,85,41
407,34,485,17.96,142.65,3,27,29
508,35,866,26.24,120.61,6,83,19
562,32,725,27.88,139.42,4,68,31
583,36,987,29.91,154.22,5,114,45
447,32,707,47.13,127.62,3,49,19
879,38,1471,50.72,128.14,13,146,21
463,31,681,29.61,130.71,4,59,16
376,39,803,23.62,116.72,5,81,21
376,39,803,23.62,116.72,5,81,21
451,40,844,24.11,129.85,6,76,26
823,38,1461,45.66,146.1,11,129,61
475,35,756,26.07,127.7,5,77,22
504,39,945,25.54,129.81,4,111,13
370,41,762,19.54,122.31,3,90,22
405,41,729,17.78,125.04,2,68,24
431,43,946,24.89,120.82,4,89,28
625,44,1226,31.44,136.07,6,129,50
540,46,1293,28.11,135.25,12,123,47
524,47,1407,34.32,134.13,8,130,45
483,47,1043,26.07,115.25,7,93,21
496,48,1094,28.05,122.92,7,96,36
484,50,885,18.83,125.35,2,86,35
337,52,823,18.7,141.17,3,53,51
392,53,1189,27.02,122.96,8,108,51
435,5,219,54.75,164.66,2,23,12
511,56,1386,25.67,122.01,6,144,45
307,54,1627,32.54,142.84,13,138,105
483,51,976,31.48,140.63,3,63,52
542,54,1246,28.32,129.12,3,117,36
553,59,1588,28.36,128.27,10,175,47
568,60,1644,31.02,136.66,8,176,54
820,61,1989,38.25,155.88,12,196,92
366,55,977,20.79,114.94,2,74,33
785,62,1724,31.35,156.44,11,132,107
375,6,171,28.5,115.54,1,11,4
492,6,219,36.5,119.67,1,25,5
523,61,1334,26.68,139.69,8,114,55
451,63,1224,20.75,106.99,3,73,60
390,60,1123,23.4,132.27,4,73,66
529,71,1317,21.95,145.85,4,82,77
563,68,1409,29.35,138.41,2,96,61
575,77,2124,29.5,139.28,18,251,71
475,78,1758,24.08,117.2,7,189,45
581,79,2207,31.53,140.48,17,215,89
333,68,1268,21.13,104.62,3,108,20
410,72,1201,24.02,152.6,3,88,64
446,75,1934,38.68,126.24,11,138,71
673,76,2794,50.8,138.25,24,258,76
449,77,1282,19.72,119.93,5,110,33
377,7,166,55.33,141.88,1,16,4
529,79,1474,24.16,122.63,4,117,48
641,85,2536,32.51,134.61,15,226,119
687,86,2138,30.99,137.49,13,160,105
407,88,1992,25.22,116.63,11,208,52
509,89,1672,21.16,136.05,3,137,76
301,85,1617,37.6,126.13,2,116,52
