Bowler_Rating,Innings_Bowl,Wickets_Bowl,Economy_Bowl,Bowling_Average_Bowl,Bowling_Strike_Rate_Bowl
736,48,89,6.14,12.63,12.34
730,19,25,6.15,17.72,17.28
713,29,33,6.13,19.03,18.64
712,24,25,6.73,21.28,18.96
681,22,17,7.45,35.06,28.24
677,43,52,7.36,21.08,17.17
672,42,42,5.97,21.62,21.71
658,41,41,7.63,26.8,21.07
653,38,48,7.03,20.88,17.81
639,46,58,8.66,24.26,16.81
639,27,36,7.84,20.5,15.69
631,18,19,7.77,26.58,20.53
630,49,59,6.67,20.25,18.22
625,26,35,8.21,19.94,14.57
622,44,53,8.06,24.09,17.94
620,68,78,8.46,27.0,19.15
595,33,45,7.22,20.07,16.67
595,28,36,6.88,19.86,17.33
580,19,27,7.77,20.15,15.56
567,22,19,6.93,27.74,24.0
557,76,69,7.24,26.91,22.32
545,31,43,6.91,18.65,16.19
544,28,34,8.2,22.38,16.38
543,26,24,7.49,23.25,18.62
540,83,107,7.42,20.79,16.81
533,18,21,9.1,25.57,16.86
529,42,55,8.19,24.35,17.84
529,26,36,7.38,19.28,15.67
526,22,25,7.9,25.08,19.04
521,34,51,6.78,16.24,14.37
521,41,58,7.93,20.53,15.53
520,23,34,8.4,20.5,14.65
517,48,59,6.97,20.75,17.86
512,42,54,6.29,17.37,16.57
511,12,16,7.24,20.81,17.25
504,25,41,8.59,18.83,13.15
503,39,47,6.94,20.11,17.38
502,38,63,6.73,15.05,13.41
501,24,24,8.43,28.79,20.5
497,19,28,6.89,16.0,13.93
497,18,27,6.71,16.11,14.41
494,10,17,7.0,14.76,12.65
486,20,39,7.11,13.77,11.62
479,22,22,7.78,28.18,21.73
476,43,41,7.05,26.54,22.59
475,18,24,8.31,22.5,16.25
474,39,32,7.21,29.28,24.38
472,29,43,7.13,16.98,14.28
466,41,49,8.24,24.18,17.61
463,39,28,6.29,30.32,28.93
461,14,21,8.73,21.0,14.43
457,11,17,5.51,13.94,15.18
453,18,14,8.11,38.43,28.43
449,11,16,7.81,18.38,14.12
446,57,53,6.94,22.06,19.08
444,2,3,5.88,15.67,16.0
443,30,35,6.48,16.86,15.6
441,30,35,8.47,25.06,17.74
440,27,39,8.64,21.9,15.21
439,49,55,6.85,22.16,19.42
437,16,22,6.02,14.68,14.64
436,30,34,6.42,20.91,19.53
430,9,13,7.16,18.08,15.15
430,13,20,8.94,19.75,13.25
430,37,40,7.07,20.65,17.52
425,12,15,8.59,25.2,17.6
423,20,20,8.4,29.05,20.75
420,25,24,6.75,21.67,19.25
420,27,24,8.69,31.92,22.04
419,49,39,7.1,29.54,24.95
418,13,24,8.65,15.5,10.75
413,20,19,7.41,24.58,19.89
412,40,44,6.67,19.98,17.98
412,39,31,8.57,32.68,22.87
405,19,17,5.41,20.06,22.24
403,20,24,8.17,25.42,18.67
402,24,30,8.63,25.4,17.67
400,8,14,7.16,15.86,13.29
400,49,52,6.02,21.25,21.19
399,11,11,6.8,21.64,19.09
397,21,14,8.83,40.79,27.71
394,27,34,8.27,23.59,17.12
389,17,27,6.19,14.44,14.0
386,17,13,8.43,40.31,28.69
385,22,27,6.84,18.63,16.33
382,20,20,7.98,26.6,20.0
381,13,12,5.92,17.83,18.08
381,14,15,9.22,27.13,17.67
380,15,14,8.7,31.07,21.43
380,25,16,8.6,36.75,25.62
376,32,33,8.96,31.39,21.03
373,11,18,8.19,19.56,14.33
373,31,17,8.28,36.53,26.47
372,16,13,8.31,32.62,23.54
371,23,21,6.15,23.9,23.33
367,11,12,7.12,20.58,17.33
366,10,10,9.68,35.8,22.2
365,21,25,7.88,23.64,18.0
363,72,76,7.11,21.37,18.03
400,12,15,9.94,27.73,16.73
258,18,27,6.71,16.11,14.41
541,10,11,10.83,33.64,18.64
559,49,55,6.85,22.16,19.42
300,27,34,8.27,23.59,17.12
700,6,7,7.31,16.71,13.71
495,11,11,8.23,28.82,21.0
539,21,26,8.92,24.23,16.31
700,11,8,9.52,41.25,26.0
695,10,6,7.49,43.67,35.0
