Bowler_Rating,Matches_Bowl,Innings_Bowl,Wickets_Bowl,Economy_Bowl,Bowling_Average_Bowl,Bowling_Strike_Rate_Bowl,FiveWickets_Bowl,TenWickets_Bowl
736,48,48,89,6.14,12.63,12.34,2,0
730,19,19,25,6.15,17.72,17.28,0,0
713,30,29,33,6.13,19.03,18.64,0,0
712,24,24,25,6.73,21.28,18.96,1,0
681,22,22,17,7.45,35.06,28.24,0,0
677,44,43,52,7.36,21.08,17.17,0,0
672,43,42,42,5.97,21.62,21.71,1,0
658,43,41,41,7.63,26.8,21.07,0,0
653,40,38,48,7.03,20.88,17.81,0,0
639,46,46,58,8.66,24.26,16.81,0,0
639,27,27,36,7.84,20.5,15.69,0,0
631,18,18,19,7.77,26.58,20.53,0,0
630,49,49,59,6.67,20.25,18.22,0,0
625,27,26,35,8.21,19.94,14.57,0,0
622,45,44,53,8.06,24.09,17.94,0,0
620,70,68,78,8.46,27,19.15,1,0
595,34,33,45,7.22,20.07,16.67,1,0
595,28,28,36,6.88,19.86,17.33,0,0
580,19,19,27,7.77,20.15,15.56,0,0
567,22,22,19,6.93,27.74,24,0,0
557,77,76,69,7.24,26.91,22.32,0,0
545,31,31,43,6.91,18.65,16.19,0,0
544,28,28,34,8.2,22.38,16.38,0,0
543,27,26,24,7.49,23.25,18.62,0,0
540,83,83,107,7.42,20.79,16.81,2,0
533,18,18,21,9.1,25.57,16.86,0,0
529,42,42,55,8.19,24.35,17.84,1,0
529,27,26,36,7.38,19.28,15.67,1,0
526,22,22,25,7.9,25.08,19.04,0,0
521,34,34,51,6.78,16.24,14.37,0,0
521,41,41,58,7.93,20.53,15.53,1,0
520,23,23,34,8.4,20.5,14.65,0,0
517,48,48,59,6.97,20.75,17.86,0,0
512,42,42,54,6.29,17.37,16.57,0,0
511,12,12,16,7.24,20.81,17.25,0,0
504,25,25,41,8.59,18.83,13.15,0,0
503,39,39,47,6.94,20.11,17.38,0,0
502,38,38,63,6.73,15.05,13.41,2,0
501,24,24,24,8.43,28.79,20.5,1,0
497,19,19,28,6.89,16,13.93,0,0
497,18,18,27,6.71,16.11,14.41,0,0
494,10,10,17,7,14.76,12.65,1,0
486,20,20,39,7.11,13.77,11.62,1,0
479,22,22,22,7.78,28.18,21.73,0,0
476,43,43,41,7.05,26.54,22.59,1,0
475,18,18,24,8.31,22.5,16.25,1,0
474,40,39,32,7.21,29.28,24.38,0,0
472,31,29,43,7.13,16.98,14.28,0,0
466,42,41,49,8.24,24.18,17.61,0,0
463,40,39,28,6.29,30.32,28.93,0,0
461,14,14,21,8.73,21,14.43,0,0
457,11,11,17,5.51,13.94,15.18,0,0
453,18,18,14,8.11,38.43,28.43,0,0
449,12,11,16,7.81,18.38,14.12,0,0
446,67,57,53,6.94,22.06,19.08,0,0
444,2,2,3,5.88,15.67,16,0,0
443,31,30,35,6.48,16.86,15.6,0,0
441,30,30,35,8.47,25.06,17.74,0,0
440,27,27,39,8.64,21.9,15.21,0,0
439,50,49,55,6.85,22.16,19.42,0,0
437,16,16,22,6.02,14.68,14.64,0,0
436,30,30,34,6.42,20.91,19.53,0,0
430,9,9,13,7.16,18.08,15.15,0,0
430,13,13,20,8.94,19.75,13.25,0,0
430,37,37,40,7.07,20.65,17.52,0,0
425,12,12,15,8.59,25.2,17.6,1,0
423,21,20,20,8.4,29.05,20.75,0,0
420,25,25,24,6.75,21.67,19.25,0,0
420,29,27,24,8.69,31.92,22.04,0,0
419,49,49,39,7.1,29.54,24.95,0,0
418,13,13,24,8.65,15.5,10.75,0,0
413,23,20,19,7.41,24.58,19.89,0,0
412,42,40,44,6.67,19.98,17.98,0,0
412,41,39,31,8.57,32.68,22.87,0,0
405,19,19,17,5.41,20.06,22.24,0,0
403,20,20,24,8.17,25.42,18.67,0,0
402,24,24,30,8.63,25.4,17.67,0,0
400,8,8,14,7.16,15.86,13.29,0,0
400,51,49,52,6.02,21.25,21.19,0,0
399,13,11,11,6.8,21.64,19.09,0,0
397,26,21,14,8.83,40.79,27.71,0,0
394,28,27,34,8.27,23.59,17.12,0,0
389,17,17,27,6.19,14.44,14,0,0
386,17,17,13,8.43,40.31,28.69,0,0
385,22,22,27,6.84,18.63,16.33,0,0
382,20,20,20,7.98,26.6,20,0,0
381,14,13,12,5.92,17.83,18.08,0,0
381,14,14,15,9.22,27.13,17.67,0,0
380,15,15,14,8.7,31.07,21.43,0,0
380,28,25,16,8.6,36.75,25.62,0,0
376,32,32,33,8.96,31.39,21.03,0,0
373,11,11,18,8.19,19.56,14.33,0,0
373,48,31,17,8.28,36.53,26.47,0,0
372,16,16,13,8.31,32.62,23.54,0,0
371,23,23,21,6.15,23.9,23.33,0,0
367,11,11,12,7.12,20.58,17.33,0,0
366,10,10,10,9.68,35.8,22.2,0,0
365,21,21,25,7.88,23.64,18,0,0
363,76,72,76,7.11,21.37,18.03,0,0
400,12,12,15,9.94,27.73,16.73,0,0
258,18,18,27,6.71,16.11,14.41,0,0
541,10,10,11,10.83,33.64,18.64,0,0
559,50,49,55,6.85,22.16,19.42,0,0
300,28,27,34,8.27,23.59,17.12,0,0
700,7,6,7,7.31,16.71,13.71,0,0
495,11,11,11,8.23,28.82,21,0,0
539,21,21,26,8.92,24.23,16.31,0,0
700,11,11,8,9.52,41.25,26,0,0
695,10,10,6,7.49,43.67,35,0,0
